No,Lecturer Name,Lecturer Code,Link Zoom,Status ▾
51,Mr. Davis Turner,LC112,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
52,Dr. Robinson Cooper,LC223,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
53,Mr. Williams Longfellow,LC556,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
54,Ms. Longfellow Hayes,LC889,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
55,Mr. Jefferson Jenkins,LC900,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
56,Dr. Brown Anderson,LC113,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
57,Prof. Turner Foster,LC224,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
58,Ms. Phillips White,LC335,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
59,Mr. Jefferson Taylor,LC446,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
60,Dr. Foster Robinson,LC557,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
61,Ms. Williams Thompson,LC668,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
62,Prof. Davis Smith,LC779,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
63,Ms. Longfellow Hayes_1,LC114,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
64,Mr. Russell Phillips,LC225,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
65,Prof. Foster White,LC336,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
66,Dr. Davis Taylor,LC447,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
67,Ms. Robinson Foster,LC558,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
68,Mr. Turner Smith,LC669,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
69,Dr. Bennett Turner,LC780,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
70,Prof. Cooper Brown,LC891,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
71,Ms. Jenkins Parker,LC902,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
72,Prof. Miller Taylor,LC111,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
73,Dr. Wilson Brown,LC222,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
74,Ms. Moore Thompson,LC333,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
75,Dr. Mitchell White,LC555,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
76,Mr. Martinez Johnson,LC444,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
77,Prof. Turner Parker,LC666,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
78,Ms. Parker Phillips,LC777,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
79,Dr. Cooper Robinson,LC999,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
80,Mr. Phillips Davis,LC888,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
81,Mr. Foster Williams,LC343,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
82,Prof. Bennett Carter,LC121,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
83,Ms. Reed Foster,LC232,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
84,Dr. Coleman Harris,LC454,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
85,Ms. Hayes Longfellow,LC676,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
86,Prof. Russell Turner,LC565,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
87,Mr. Jenkins Jefferson,LC787,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
88,Prof. Simpson Anderson,LC909,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
89,Ms. Turner Reynolds,LC563,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
90,Dr. Fisher Miller,LC898,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
91,Ms. Wells Smith,LC131,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
92,Prof. Anderson Rodriguez,LC781,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
93,Mr. Rodriguez Bennett,LC124,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
94,Dr. Mitchell Taylor,LC895,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
95,Dr. Foster Sanchez,LC492,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
96,Prof. Sanchez Jefferson,LC236,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
97,Ms. Reynolds Jenkins,LC657,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
98,Mr. Bennett Miller,LC408,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
99,Dr. Taylor Carter,LC719,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
100,Ms. Parker Hayes,LC841,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
101,Mr. Jenkins Russell,LC972,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
102,Prof. Coleman Wilson,LC530,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
103,Dr. Wells Miller,LC303,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
104,Prof. Russell Davis,LC654,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
105,Mr.Miller Cooper,LC879,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
106,Dr. Fisher Longfellow,LC945,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
107,Ms. Longfellow Anderson,LC608,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
108,Prof. Cooper Parker,LC317,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
109,Mr. Jefferson Anto,LC231,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
110,Ms. Hayes Jefferson,LC126,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
111,Dr. Brown Williams,LC456,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
112,Ms. Thompson Robinson,LC567,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
113,Prof. Taylor Bennett,LC345,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
114,Dr. White Jenkins,LC789,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
115,Mr. Wilson Parker,LC890,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
116,Mr. Johnson Davis,LC678,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
117,Mr. Davis Turner,LC112,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
118,Dr. Robinson Cooper,LC223,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
119,Dr. Rodriguez Jenkins,LC901,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
120,Ms. Foster Turner,LC445,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
121,Mr. Williams Longfellow,LC556,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
122,Prof. Turner Cooper,LC778,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
123,Prof. Carter Rodriguez,LC334,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
124,Ms. Longfellow Hayes,LC889,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
125,Dr. Brown Anderson,LC113,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
126,Mr. Jefferson Jenkins,LC900,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
127,Dr. Harris Russell,LC667,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
128,Mr. Jefferson Taylor,LC446,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
129,Prof. Turner Foster,LC224,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
130,Dr. Foster Robinson,LC557,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
131,Ms. Phillips White,LC335,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
132,Prof. Davis Smith,LC779,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
133,Ms. Longfellow Hayes_1,LC114,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
134,Ms. Williams Thompson,LC668,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
135,Mr. Russell Phillips,LC225,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
136,Prof. Foster White,LC336,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
137,Dr. Davis Taylor,LC447,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
138,Ms. Robinson Foster,LC558,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
139,Dr. Bennett Turner,LC780,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
140,Prof. Cooper Brown,LC891,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
141,Mr. Turner Smith,LC669,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
142,Ms. Jenkins Parker,LC902,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
